Name,Category,Description,Author,Created,LastModified,Website,Filename,OriginalFileName,PEDescription,Product,Privileges,Free,Verification,SupportedOS,Capabilities,Vulnerabilities,InstallationPaths,Artifacts,Detections,References,Acknowledgement
ZOC,RAT,ZOC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.emtec.com/zoc/index.html,,,,,,,,,,,"C:\Program Files\ZOC8\*, *\ZOC?\*, *\zoc.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": []}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/zoc_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of ZOC RMM tool""}]",,[]
Access Remote PC,RMM,Access Remote PC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.remotedesktop.com/,,,,,,True,True,"Windows, Mac, Linux, Android, iOS",,,C:\Program Files (x86)\RemotePC\*,"{""Disk"": [{""File"": ""C:\\Program Files (x86)\\RemotePC\\RemotePCUIU.exe"", ""Description"": ""RemotePC service binary"", ""OS"": ""Windows""}, {""File"": ""C:\\Program Files (x86)\\RemotePC\\*"", ""Description"": ""Multiple files and binaries related to RemotePC installation"", ""OS"": ""Windows""}], ""EventLog"": [{""EventID"": 7045, ""ProviderName"": ""Service Control Manager"", ""LogFile"": ""System.evtx"", ""ServiceName"": ""RemotePC Performance Service"", ""ImagePath"": ""\""C:\\\\Program Files (x86)\\\\RemotePC\\\\RemotePCPerformance\\\\RPCPerformanceService.exe\"""", ""Description"": ""Service installation event as result of RemotePC installation.""}, {""EventID"": 4688, ""ProviderName"": ""Microsoft-Security-Auditing"", ""LogFile"": ""Security.evtx"", ""CommandLine"": ""sc  create RPCService start=auto binpath=\""C:\\\\Program Files (x86)\\\\RemotePC\\\\RemotePCService.exe\"""", ""Description"": ""Executing command to install RemotePC service.""}, {""EventID"": 4688, ""ProviderName"": ""Microsoft-Security-Auditing"", ""LogFile"": ""Security.evtx"", ""CommandLine"": ""C:\\\\Windows\\\\system32\\\\schtasks /create /SC DAILY /st 12:00 /TN \""RPCPerformanceHealthCheck\"" /TR \""C:\\\\Program Files (x86)\\\\RemotePC\\\\RemotePCPerformance\\\\RPCPerformanceDownloader.exe\"" /rl HIGHEST /ru system"", ""Description"": ""Executing command to create RemotePC HealthCheck scheduled task.""}, {""EventID"": 4688, ""ProviderName"": ""Microsoft-Security-Auditing"", ""LogFile"": ""Security.evtx"", ""CommandLine"": ""C:\\Windows\\regedit.exe /s C:\\Program Files (x86)\\RemotePC\\Register.reg"", ""Description"": ""Executing command to install various registry changes related to RemotePC.""}, {""EventID"": 4688, ""ProviderName"": ""Microsoft-Security-Auditing"", ""LogFile"": ""Security.evtx"", ""CommandLine"": ""netsh  advfirewall firewall add rule name=\""RemotePCDesktop\"" enable=yes dir=in action=allow profile=any program=\""C:\\Program Files (x86)\\RemotePC\\RemotePCDesktop.exe\"" description=\""This program is used for File Transfer and is part of RemotePC product.\"""", ""Description"": ""Executing command to add local firewall rule to allow inbound traffic for RemotePC.""}], ""Registry"": [], ""Network"": []}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/access_remote_pc_files_sigma.yml"", ""Description"": ""Detects potential files activity of Access Remote PC RMM tool""}]",,"[{""Person"": ""Daniel Koifman"", ""Handle"": ""@koifsec""}]"
ManageEngine,RMM,ManageEngine is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://www.manageengine.com/,,,,,,,,,,,"InstallShield Setup.exe, ManageEngine_Remote_Access_Plus.exe, *\dcagentservice.exe, C:\Program Files (x86)\DesktopCentral_Agent\bin\*, *\DesktopCentral_Agent\bin\*","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": []}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/manageengine_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of ManageEngine RMM tool""}]",,[]
I'm InTouch,RMM,I'm InTouch is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://locator.01com.com/,,,,,,,,,,,"iit.exe, intouch.exe, I'm InTouch Go Installer.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""*.01com.com"", ""01com.com/imintouch-remote-pc-desktop""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/i'm_intouch_network_sigma.yml"", ""Description"": ""Detects potential network activity of I'm InTouch RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/i'm_intouch_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of I'm InTouch RMM tool""}]",https://www.01com.com/mobile/imintouch-remote-pc-desktop/faqs/remote-access/,[]
PChelpware,RMM,"PChelpware (also known as PCHelpWare) is a free and open-source remote support and remote desktop software developed by the UltraVNC team. Built on VNC technology and following the RFB protocol, PChelpware is designed specifically for remote technical support scenarios, virtual training, and helpdesk operations.",Daniel Koifman (KoifSec),2025-11-12,2025-11-12,https://uvnc.com/downloads/pchelpware/,,,,,User,True,True,Windows,"Remote Desktop Control, Remote Support, Screen Sharing, File Transfer",,*\PcHelpWare_viewer.exe,"{""Disk"": [{""File"": ""C:\\temp_phw"", ""Description"": ""Folder that is created upon PcHelpWare execution"", ""OS"": ""Windows""}], ""EventLog"": [], ""Registry"": [], ""Network"": []}","[{""Splunk"": ""https://raw.githubusercontent.com/Koifman/Deathcon25/refs/heads/main/rmm_rodeo/pchelpware/spl.spl"", ""Description"": ""Splunk SPL query detecting PChelpware activity through Sysmon EventCode 1 (process creation).""}]",https://uvnc.com/downloads/pchelpware/,[]
Electric AI (Kaseya),RMM,Electric AI (Kaseya) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.electric.ai/,,,,,,,,,,,,"{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""electric.ai""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/electric_ai__kaseya__network_sigma.yml"", ""Description"": ""Detects potential network activity of Electric AI (Kaseya) RMM tool""}]",https://www.electric.ai/product/device-management-solutions - Usess Kaseya/jamf,[]
RustDesk,RMM,RustDesk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://rustdesk.com/,,,,,,Yes,,"Windows, Linux, MacOS",,,"rustdesk*.exe, rustdesk.exe, C:\Users\*\AppData\Local\rustdesk\rustdesk.exe, C:\Users\*\AppData\Local\rustdesk\*, C:\Program Files\RustDesk","{""Disk"": [{""File"": ""C:\\Windows\\ServiceProfiles\\LocalService\\AppData\\Roaming\\RustDesk\\*"", ""Description"": ""N/A"", ""OS"": ""Windows""}], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""rustdesk.com"", ""user_managed"", ""web.rustdesk.com"", ""api.rustdesk.com"", ""rs-ny.rustdesk.com""], ""Ports"": [443, 21115, 21116]}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/rustdesk_network_sigma.yml"", ""Description"": ""Detects potential network activity of RustDesk RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/rustdesk_files_sigma.yml"", ""Description"": ""Detects potential files activity of RustDesk RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/rustdesk_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of RustDesk RMM tool""}]",https://rustdesk.com/docs/en/,[]
Tanium,RMM,Tanium is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://www.tanium.com/,,,,,,,,,,,"TaniumClient.exe, TaniumCX.exe, TaniumExecWrapper.exe, TaniumFileInfo.exe, TPowerShell.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""cloud.tanium.com"", ""*.cloud.tanium.com""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/tanium_network_sigma.yml"", ""Description"": ""Detects potential network activity of Tanium RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/tanium_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Tanium RMM tool""}]",https://help.tanium.com/bundle/ug_client_cloud/page/client/platform_connections.html,[]
DeskDay,RMM,DeskDay is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://deskday.com/,,,,,,,,Windows,,,ultimate_*.exe,"{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""deskday.ai"", ""app.deskday.ai""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/deskday_network_sigma.yml"", ""Description"": ""Detects potential network activity of DeskDay RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/deskday_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of DeskDay RMM tool""}]",https://support.deskday.ai/en/articles/8235973-installing-the-end-user-application-ultimate,[]
Echoware,RMM,Echoware is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,,,,,,,,,,,,"echoserver*.exe, echoware.dll","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": []}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/echoware_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Echoware RMM tool""}]",,[]
Zoho Assist,RMM,Zoho Assist is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2026-02-09,https://www.zoho.com/assist/,,,,,,,,Windows,,,"toolsiq.exe, zaservice.exe, ZMAgent.exe, ZohoMeeting.exe, Zohours.exe, zohotray.exe, ZohoURSService.exe, *\ZA_Access.exe, za_connect.exe, connect.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""*.zoho.com.au"", ""*.zohoassist.jp"", ""assist.zoho.com"", ""zoho.com/assist/"", ""*.zoho.in"", ""downloads.zohodl.com.cn"", ""*.zohoassist.com"", ""downloads.zohocdn.com"", ""gateway.zohoassist.com"", ""*.zohoassist.com.cn"", ""*.zoho.com.cn"", ""*.zoho.com"", ""*.zoho.eu""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/zoho_assist_network_sigma.yml"", ""Description"": ""Detects potential network activity of Zoho Assist RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/zoho_assist_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Zoho Assist RMM tool""}]",https://www.zoho.com/assist/kb/firewall-configuration.html,"[{""Person"": ""Daniel Koifman"", ""Handle"": ""@koifsec""}]"
ServerEye,RMM,ServerEye is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.servereye.de/,,,,,,,,,,,"servereye*.exe, ServiceProxyLocalSys.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""*.server-eye.de""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/servereye_network_sigma.yml"", ""Description"": ""Detects potential network activity of ServerEye RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/servereye_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of ServerEye RMM tool""}]",https://www.servereye.de/wp-content/uploads/Anleitung-zur-Erstinstallation_aktuell.pdf,[]
Domotz,RMM,Domotz is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://www.domotz.com/,,,,,,,,,,,"domotz.exe, Domotz Pro Desktop App.exe, domotz_bash.exe, domotz*.exe, Domotz Pro Desktop App Setup*.exe, domotz-windows*.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""*.domotz.co"", ""domotz.com"", ""*cell-1.domotz.com""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/domotz_network_sigma.yml"", ""Description"": ""Detects potential network activity of Domotz RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/domotz_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Domotz RMM tool""}]",https://help.domotz.com/tips-tricks/unblock-outgoing-connections-on-firewall/,[]
SimpleHelp,RMM,"SimpleHelp is a remote monitoring and management (RMM) tool. It has been observed being abused by threat actors as a persistence and remote-access vector during ransomware operations, including campaigns delivering the ""Crazy"" ransomware (VoidCrypt family) reported by Huntress in February 2026.",,2024-08-02,2026-05-04,https://simple-help.com/,,,,,,,,Windows,,,"simplehelpcustomer.exe, simpleservice.exe, simplegatewayservice.exe, remote access.exe, windowslauncher.exe, spsrv.exe, serviceconfig.xml, C:\ProgramData\JWrapper-Remote Access\*, %APPDATA%\JWrapper-SimpleSetup\*, vhost.exe","{""Disk"": [{""File"": ""C:\\ProgramData\\JWrapper-Remote Access\\"", ""Description"": ""Default SimpleHelp \""Remote Access\"" service installation directory observed in Huntress reporting on Crazy ransomware operations."", ""OS"": ""Windows""}, {""File"": ""%APPDATA%\\JWrapper-SimpleSetup\\"", ""Description"": ""SimpleHelp customer-side setup/wrapper directory dropped by the SimpleSetup installer (e.g. windowslauncher.exe, SimpleSetupECompatibility.exe)."", ""OS"": ""Windows""}], ""EventLog"": [], ""Registry"": [{""Path"": ""HKLM\\SOFTWARE\\WOW6432Node\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\SimpleSetup"", ""Description"": ""Uninstall key written by the SimpleHelp SimpleSetup installer; URLUpdateInfo points to https://www.simple-help.com/media/static/SimpleSetup/.""}], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""user_managed"", ""simple-help.com"", ""51.255.19.178"", ""51.255.19.179""], ""Ports"": [443]}, {""Description"": ""Threat-actor-controlled SimpleHelp / Net Monitor infrastructure observed by Huntress during the \""Crazy\"" (VoidCrypt) ransomware campaign documented in February 2026. NOT vendor-legitimate \u2014 these are attacker-operated SimpleHelp gateways and update servers."", ""Domains"": [""dronemaker.org"", ""telesupportgroup.com"", ""microuptime.com"", ""192.144.34.42"", ""160.191.182.41""], ""Ports"": [443]}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/simplehelp_network_sigma.yml"", ""Description"": ""Detects potential network activity of SimpleHelp RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/simplehelp_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of SimpleHelp RMM tool""}]","https://simple-help.com/remote-support, https://www.huntress.com/blog/employee-monitoring-simplehelp-abused-in-ransomware-operations, https://www.huntress.com/blog/slashandgrab-screen-connect-post-exploitation-in-the-wild-cve-2024-1709-cve-2024-1708, https://www.group-ib.com/blog/muddywater-infrastructure/","[{""Person"": ""KapAttack133"", ""Handle"": ""KapAttack133""}, {""Person"": ""Phyo Paing Htun"", ""Handle"": """"}]"
Rocket Remote Desktop,RMM,Rocket Remote Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.rocketsoftware.com/en-us/products/remote-desktop,,,,,,,,Windows,,,"RDConsole.exe, RocketRemoteDesktop_Setup.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": []}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/rocket_remote_desktop_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Rocket Remote Desktop RMM tool""}]",,[]
Jump Desktop,RMM,Jump Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://jumpdesktop.com/,,,,,,,,,,,"jumpclient.exe, jumpdesktop.exe, jumpservice.exe, jumpconnect.exe, jumpupdater.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""*.jumpdesktop.com"", ""jumpdesktop.com"", ""jumpto.me"", ""*.jumpto.me""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/jump_desktop_network_sigma.yml"", ""Description"": ""Detects potential network activity of Jump Desktop RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/jump_desktop_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Jump Desktop RMM tool""}]",https://support.jumpdesktop.com/hc/en-us/articles/360042490351-Administrators-Guide-For-Jump-Desktop-Connect,[]
Rodex RMM,RAT,"Rodex RMM is marketed at https://www.rodex.cc/ as a self-hostable Remote Monitoring & Management platform — the operator pays in cryptocurrency ($150-$650/mo recurring, $250-$2,200 first-month onboarding) and the vendor's provisioner installs a stack (Node.js + MongoDB + Go relay + Nginx + SSL) onto the operator's own VPS. The agent is a single Go binary (`RodexAgent.exe`, ~7.3 MB) which establishes a WebSocket back to the operator's relay for remote desktop (WebRTC GUI streaming), remote terminal (PowerShell / Bash / Zsh), CPU/RAM/disk/network monitoring, Windows Update orchestration, and arbitrary script execution. The marketing positions Rodex as a privacy-preserving alternative to cloud RMMs (""every byte of data stays on your server""), comparable in shape to RustDesk / Tactical RMM / NetLock RMM. **However**, the project profile is materially different from those legitimate self-hostable peers and tracks closer to the TrustConnect / fake-RMM-as-a-service pattern: - No public source code (RustDesk, Tactical RMM, NetLock are open-source on GitHub; Rodex is not). - No corporate identity disclosed — no leadership names, no LinkedIn presence, the only contact is `support@rodex.cc`. - The `rodex.cc` domain was registered 2026-03-12 (NameSilo privacy WHOIS, Cloudflare-fronted). - Cryptocurrency-only payment. - Every `RodexAgent.exe` sample observed on VirusTotal is **unsigned** (no Authenticode publisher cert), despite the PE version block claiming `Rodex RMM Suite` / `© 2024-2025 Rodex Technologies Inc.` — that company name is not verifiable in any registry. - In-the-wild RodexAgent.exe samples have antivirus detection ratios ranging 27/76 to 48/76, with several engines applying the `trojan.tedy/misc` label (Tedy is a known stealer family); one sample carries the label `PasswordStealer.Spyware.Stealer.DDS`. - Agent filenames observed in the wild include both random-name `C:\Windows\<6-9-char>.exe` drops (e.g. `airj5.exe`, `ccwojfhc.exe`, `n0y9ytr.exe`) and decoy installers impersonating real organisations (`PROSEGURAgent.exe`, `FundacinAdsisAgent.exe`, `Daleph-Install-Default.exe`, `SifemInstall.exe`, `AdobepluginD3238-Install-Default.exe`, `AccessWinRAR.exe`, `InvitationCard.exe`) — all carrying the same `RodexAgent.exe` PE version-block strings underneath. Catalogued here as **Category: RAT** (same precedent as `trustconnect.yaml`) — not because the product is necessarily intended as malware, but because the in-the-wild distribution pattern is indistinguishable from RAT-as-a-service and defenders matching `RodexAgent.exe` will encounter unsigned binaries with malware-class filenames rather than vendor-signed RMM agents.",johnk3r,2026-04-03,2026-05-04,https://www.rodex.cc/,RodexAgent.exe,RodexAgent.exe,"Rodex RMM Agent — Go-based WebSocket agent (~7.3 MB). PE version-block strings (Product=`Rodex RMM Suite`, CopyrightHolder=`Rodex Technologies Inc.`) are vendor-claimed but not verifiable in any corporate registry; binary is unsigned.",,User,"No (crypto-only paid plans, $150-$650/mo recurring)","No verification — binaries are unsigned despite PE version-block claiming ""Rodex Technologies Inc."" copyright","Windows, Linux, MacOS","Remote desktop (WebRTC GUI streaming), Remote terminal (PowerShell / Bash / Zsh), Endpoint monitoring (CPU / RAM / disk / network), Windows Update / patch orchestration, Script automation, Self-hosted operator-controlled relay",,"RodexAgent.exe, rodexagent.exe, C:\Program Files\Rodex\RodexAgent.exe, C:\Windows\<random>.exe","{""Disk"": [{""File"": ""RodexAgent.exe"", ""Description"": ""Rodex Go-based agent binary, ~7.3 MB. Unsigned. Multiple decoy filenames observed in the wild \u2014 match on the binary's PE version-block strings or authentihash rather than filename."", ""OS"": ""Windows"", ""Example"": [""SHA256: e08a097fe259aeca06133b5d1df226f9a2e79e79d7fb44cf5a3503c2b484c21b (det 27/76, freshest sample)"", ""SHA256: 26dfaebeee560a938a572ed387db816c7e5a8415e126115111cd0ed0dbf59c8a (det 48/76)"", ""SHA256: 28b33dddab17f219316079d43f47bb92b587962b608df4ed5c3c9020948b5db4 (det 40/76)"", ""SHA256: 4e2f69b87d108fb58fde72c5e51cc5bf587a7665e4d406693742ae8afca77300 (det 42/76)"", ""SHA256: 20fc3c4eaf48c79a4a2da019135c33be8bc06d80aca68e3d1ce405f76b774857 (det 39/76)""]}, {""File"": ""C:\\Windows\\<random-6-9-char>.exe"", ""Description"": ""Stage-1 drop location pattern observed across multiple campaigns delivering RodexAgent.exe under random hex / lowercase filenames."", ""OS"": ""Windows""}, {""File"": ""<impersonated-org>Agent.exe"", ""Description"": ""Decoy installer naming pattern \u2014 RodexAgent.exe wrapped or renamed to look like a legitimate organisation's installer (PROSEGURAgent.exe, FundacinAdsisAgent.exe, Daleph-Install-Default.exe, SifemInstall.exe, AdobepluginD3238-Install-Default.exe, AccessWinRAR.exe, InvitationCard.exe observed in VirusTotal corpus)."", ""OS"": ""Windows""}], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Rodex marketing / customer portal \u2014 registered 2026-03-12 via NameSilo privacy WHOIS, fronted by Cloudflare. Operators visit this site to purchase a plan and provision a relay onto their VPS."", ""Domains"": [""rodex.cc"", ""www.rodex.cc""], ""Ports"": [443]}, {""Description"": ""Per-operator relay \u2014 the operator's own VPS hosts the Node.js dashboard / Go relay / MongoDB stack. Network destination is operator-controlled, not vendor-centralised, so per-campaign infrastructure varies. The agent connects back to whatever relay URL was baked in at install time over WebSocket (HTTPS:443 by default)."", ""Domains"": [""<operator-controlled VPS hostname or IP>""], ""Ports"": [443]}], ""Other"": [{""Type"": ""Note"", ""Value"": ""r3v13wd0s.com \u2014 alternate domain referenced in earlier writeups; flagged 14/91 malicious + tagged \""dga\"" on VirusTotal. Likely a previous staging / payload-host name; rodex.cc appears to be the current marketing front.""}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/rodexrmm_files_sigma.yml"", ""Description"": ""Detects potential files activity of Rodex RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/rodexrmm_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Rodex RMM tool""}]","https://www.rodex.cc/, https://www.virustotal.com/gui/file/e08a097fe259aeca06133b5d1df226f9a2e79e79d7fb44cf5a3503c2b484c21b, https://www.virustotal.com/gui/domain/rodex.cc","[{""Person"": ""johnk3r"", ""Handle"": ""@johnk3r""}, {""Person"": ""Michael Haag"", ""Handle"": ""@M_haggis""}]"
Bitvise SSH Server,RAT,Bitvise SSH Server is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://bitvise.com/ssh-server,,,,,,,,,,,"C:\Program Files\Bitvise SSH Server\*, *\Bitvise SSH Server\*, *\BvSshServer-Inst.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": []}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/bitvise_ssh_server_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Bitvise SSH Server RMM tool""}]",,[]
Splashtop (Beta),RMM,Splashtop (Beta) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.splashtop.com/,,,,,,,,,,,"SRServer.exe, SplashtopSOS.exe, Splashtop_Streamer_Windows*.exe, SRManager.exe","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""splashtop.com""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/splashtop__beta__network_sigma.yml"", ""Description"": ""Detects potential network activity of Splashtop (Beta) RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/splashtop__beta__processes_sigma.yml"", ""Description"": ""Detects potential processes activity of Splashtop (Beta) RMM tool""}]",,[]
PDQ Connect,RMM,PDQ Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://www.pdq.com/pdq-connect/,,,,,,,,,,,"pdq-connect*.exe, PDQConnectUpdater-*.msi","{""Disk"": [{""File"": ""C:\\ProgramData\\PDQ\\PDQConnectAgent\\PDQConnectAgent.db-journal"", ""Description"": ""Journal file that is part of the database system used by the PDQ Connect Agent to manage and store data related to its operations"", ""OS"": ""Windows""}], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""app.pdq.com"", ""cfcdn.pdq.com"", ""pdqinstallers.*.r2.cloudflarestorage.com""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/pdq_connect_network_sigma.yml"", ""Description"": ""Detects potential network activity of PDQ Connect RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/pdq_connect_files_sigma.yml"", ""Description"": ""Detects potential files activity of PDQ Connect RMM tool""}, {""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/pdq_connect_processes_sigma.yml"", ""Description"": ""Detects potential processes activity of PDQ Connect RMM tool""}]","https://connect.pdq.com/hc/en-us/articles/12489014928667-Collect-PDQ-Connect-Event-Logs, https://connect.pdq.com/hc/en-us/articles/19197321496219-PDQ-Connect-Output-Logs, https://connect.pdq.com/hc/en-us/articles/9518992071707-Network-Requirements",[]
Apple Remote Desktop,RAT,Apple Remote Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.apple.com/remotedesktop/,,,,,,,,,,,ARDAgent.app,"{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": [{""Description"": ""Known remote domains"", ""Domains"": [""user_managed""], ""Ports"": []}]}","[{""Sigma"": ""https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/apple_remote_desktop_network_sigma.yml"", ""Description"": ""Detects potential network activity of Apple Remote Desktop RMM tool""}]",https://support.apple.com/guide/remote-desktop/install-and-set-up-remote-desktop-apdf49e03a4/mac,[]
GoTo Opener,RMM,GoTo Opener is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://support.goto.com/meeting/help/about-the-goto-opener,,,,,,,,,,,"C:\Program Files (x86)\GoTo Opener, *\GoTo Opener","{""Disk"": [], ""EventLog"": [], ""Registry"": [], ""Network"": []}",[],,[]
